filename,label
n02107312_5188.jpg,n02107312-miniature_pinscher
n02107312_4269.jpg,n02107312-miniature_pinscher
n02107312_6683.jpg,n02107312-miniature_pinscher
n02107312_5407.jpg,n02107312-miniature_pinscher
n02107312_1885.jpg,n02107312-miniature_pinscher
n02107312_4057.jpg,n02107312-miniature_pinscher
n02107312_4692.jpg,n02107312-miniature_pinscher
n02107312_5567.jpg,n02107312-miniature_pinscher
n02107312_496.jpg,n02107312-miniature_pinscher
n02107312_4650.jpg,n02107312-miniature_pinscher
n02107312_5599.jpg,n02107312-miniature_pinscher
n02107312_4730.jpg,n02107312-miniature_pinscher
n02107312_7007.jpg,n02107312-miniature_pinscher
n02107312_5604.jpg,n02107312-miniature_pinscher
n02107312_7.jpg,n02107312-miniature_pinscher
n02107312_4929.jpg,n02107312-miniature_pinscher
n02107312_6680.jpg,n02107312-miniature_pinscher
n02107312_3673.jpg,n02107312-miniature_pinscher
n02107312_3667.jpg,n02107312-miniature_pinscher
n02107312_1716.jpg,n02107312-miniature_pinscher
n02107312_6051.jpg,n02107312-miniature_pinscher
n02107312_2948.jpg,n02107312-miniature_pinscher
n02107312_6246.jpg,n02107312-miniature_pinscher
n02107312_3470.jpg,n02107312-miniature_pinscher
n02107312_867.jpg,n02107312-miniature_pinscher
n02107312_5798.jpg,n02107312-miniature_pinscher
n02107312_5968.jpg,n02107312-miniature_pinscher
n02107312_3841.jpg,n02107312-miniature_pinscher
n02107312_7212.jpg,n02107312-miniature_pinscher
n02107312_6695.jpg,n02107312-miniature_pinscher
n02107312_6487.jpg,n02107312-miniature_pinscher
n02107312_254.jpg,n02107312-miniature_pinscher
n02107312_5987.jpg,n02107312-miniature_pinscher
n02107312_3474.jpg,n02107312-miniature_pinscher
n02107312_5776.jpg,n02107312-miniature_pinscher
n02107312_3449.jpg,n02107312-miniature_pinscher
n02107312_2958.jpg,n02107312-miniature_pinscher
n02107312_46.jpg,n02107312-miniature_pinscher
n02107312_3071.jpg,n02107312-miniature_pinscher
n02107312_1316.jpg,n02107312-miniature_pinscher
n02107312_7029.jpg,n02107312-miniature_pinscher
n02107312_4907.jpg,n02107312-miniature_pinscher
n02107312_6080.jpg,n02107312-miniature_pinscher
n02107312_4456.jpg,n02107312-miniature_pinscher
n02107312_2967.jpg,n02107312-miniature_pinscher
n02107312_7214.jpg,n02107312-miniature_pinscher
n02107312_6650.jpg,n02107312-miniature_pinscher
n02107312_281.jpg,n02107312-miniature_pinscher
n02107312_6136.jpg,n02107312-miniature_pinscher
n02107312_1842.jpg,n02107312-miniature_pinscher
n02107312_7717.jpg,n02107312-miniature_pinscher
n02107312_5114.jpg,n02107312-miniature_pinscher
n02107312_7703.jpg,n02107312-miniature_pinscher
n02107312_6186.jpg,n02107312-miniature_pinscher
n02107312_6151.jpg,n02107312-miniature_pinscher
n02107312_7677.jpg,n02107312-miniature_pinscher
n02107312_190.jpg,n02107312-miniature_pinscher
n02107312_6541.jpg,n02107312-miniature_pinscher
n02107312_1207.jpg,n02107312-miniature_pinscher
n02107312_2295.jpg,n02107312-miniature_pinscher
n02107312_7528.jpg,n02107312-miniature_pinscher
n02107312_2478.jpg,n02107312-miniature_pinscher
n02107312_2487.jpg,n02107312-miniature_pinscher
n02107312_4586.jpg,n02107312-miniature_pinscher
n02107312_5665.jpg,n02107312-miniature_pinscher
n02107312_3980.jpg,n02107312-miniature_pinscher
n02107312_3994.jpg,n02107312-miniature_pinscher
n02107312_3823.jpg,n02107312-miniature_pinscher
n02107312_7338.jpg,n02107312-miniature_pinscher
n02107312_5077.jpg,n02107312-miniature_pinscher
n02107312_811.jpg,n02107312-miniature_pinscher
n02107312_4355.jpg,n02107312-miniature_pinscher
n02107312_6580.jpg,n02107312-miniature_pinscher
n02107312_2453.jpg,n02107312-miniature_pinscher
n02107312_4750.jpg,n02107312-miniature_pinscher
n02107312_4234.jpg,n02107312-miniature_pinscher
n02107312_579.jpg,n02107312-miniature_pinscher
n02107312_2709.jpg,n02107312-miniature_pinscher
n02107312_4741.jpg,n02107312-miniature_pinscher
